item_id,prompt
I0436,"Item Metadata:
- item_id: I0436
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0122,"Item Metadata:
- item_id: I0122
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0100,"Item Metadata:
- item_id: I0100
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0344,"Item Metadata:
- item_id: I0344
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0161,"Item Metadata:
- item_id: I0161
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0049,"Item Metadata:
- item_id: I0049
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0446,"Item Metadata:
- item_id: I0446
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0131,"Item Metadata:
- item_id: I0131
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0274,"Item Metadata:
- item_id: I0274
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0346,"Item Metadata:
- item_id: I0346
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0428,"Item Metadata:
- item_id: I0428
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0050,"Item Metadata:
- item_id: I0050
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0106,"Item Metadata:
- item_id: I0106
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0162,"Item Metadata:
- item_id: I0162
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0456,"Item Metadata:
- item_id: I0456
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0213,"Item Metadata:
- item_id: I0213
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0410,"Item Metadata:
- item_id: I0410
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0345,"Item Metadata:
- item_id: I0345
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0472,"Item Metadata:
- item_id: I0472
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0289,"Item Metadata:
- item_id: I0289
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0135,"Item Metadata:
- item_id: I0135
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0407,"Item Metadata:
- item_id: I0407
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0449,"Item Metadata:
- item_id: I0449
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0005,"Item Metadata:
- item_id: I0005
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0231,"Item Metadata:
- item_id: I0231
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
I0160,"Item Metadata:
- item_id: I0160
- Category: unk
- Shop: unk
- Brand: unk
Goal: match relevance for likely click."
